29.3.2016,+5,755,+2,755,Þย 2์/๑
30.3.2016,+6,754,+2,753,ย 1์/๑
31.3.2016,+9,752,+4,751,ัว 2์/๑
1.4.2016,+4,742,+4,742,ว 3์/๑
2.4.2016,+5,734,+8,732,ย 3์/๑
3.4.2016,+6,737,+3,739,Þว 3์/๑
4.4.2016,+5,743,+4,743,Þว 2์/๑
5.4.2016,+5,742,+2,743,ั 1์/๑
6.4.2016,+4,744,+2,746,ัว 2์/๑
7.4.2016,+6,749,+2,750,ว 2์/๑
8.4.2016,+14,752,+9,752,ั 1์/๑
9.4.2016,+17,754,+13,753,Þ 2์/๑
10.4.2016,+17,754,+12,753,Þว 4์/๑
11.4.2016,+19,750,+14,750,Þว 3์/๑
12.4.2016,+17,750,+11,751,ัว 1์/๑
13.4.2016,+20,749,+16,749,Þว 2์/๑
14.4.2016,+19,744,+15,744,ย 3์/๑
15.4.2016,+22,743,+18,745,Þว 2์/๑
16.4.2016,+23,746,+19,746,Þว 2์/๑
17.4.2016,+18,744,+13,744,ั 1์/๑
18.4.2016,+9,745,+9,745,ั 2์/๑
19.4.2016,+15,741,+12,740,ย 1์/๑
20.4.2016,+10,743,+10,745,ว 3์/๑
21.4.2016,+11,742,+13,740,Þย 3์/๑
22.4.2016,+11,745,+8,746,ว 3์/๑
23.4.2016,+9,742,+6,744,Þว 2์/๑
24.4.2016,,,+9,754,ุ
25.4.2016,+18,754,+15,753,ย 2์/๑
26.4.2016,+22,752,+16,751,ย 3์/๑
27.4.2016,+20,749,+16,751,ย 2์/๑
28.4.2016,+17,752,+12,754,ย 4์/๑
29.4.2016,+15,756,+12,757,ย 2์/๑
30.4.2016,+14,753,+10,752,ย 3์/๑
1.5.2016,+10,749,+9,750,ย 2์/๑
2.5.2016,+12,751,+10,750,ย 3์/๑
3.5.2016,+15,749,+10,749,ย 2์/๑
4.5.2016,+11,746,+11,746,ัย 1์/๑
5.5.2016,+19,747,+15,749,ย 2์/๑
6.5.2016,+21,749,+18,749,ย 2์/๑
7.5.2016,+23,749,+18,750,ั 3์/๑
8.5.2016,+21,752,+15,752,ั 1์/๑
9.5.2016,+19,754,+17,752,ว 2์/๑
10.5.2016,+25,749,+19,749,ว 4์/๑
11.5.2016,+22,751,+18,749,ว 1์/๑
12.5.2016,+22,744,+15,743,Þว 2์/๑
13.5.2016,+10,742,+7,743,ั 3์/๑
14.5.2016,+15,745,+10,746,ัย 3์/๑
15.5.2016,+8,747,+8,748,ย 2์/๑
16.5.2016,+15,748,+13,749,ย 3์/๑
17.5.2016,+18,750,+15,752,Þย 3์/๑
18.5.2016,+17,752,+13,752,ย 3์/๑
19.5.2016,+24,751,+20,750,ย 2์/๑
20.5.2016,+17,748,+16,749,ว 1์/๑
21.5.2016,+20,748,+14,749,ย 2์/๑
22.5.2016,+20,747,+16,748,Þว 2์/๑
23.5.2016,+21,751,+17,751,ั 2์/๑
24.5.2016,+25,749,+22,749,Þย 2์/๑
25.5.2016,+29,748,+23,748,Þย 2์/๑
26.5.2016,+30,749,+21,749,Þย 2์/๑
27.5.2016,+29,751,+21,751,ว 2์/๑
28.5.2016,+30,751,+25,751,ว 2์/๑
29.5.2016,+30,750,+24,750,ัย 1์/๑
30.5.2016,+24,749,+21,748,ัว 2์/๑
31.5.2016,+17,751,+14,752,ัย 3์/๑
1.6.2016,,,+15,752,ุ
2.6.2016,+21,749,+18,749,ัว 2์/๑
3.6.2016,+20,744,+19,743,ัย 2์/๑
4.6.2016,+18,743,+17,743,ว 1์/๑
5.6.2016,+25,742,+18,743,ว 4์/๑
6.6.2016,+22,743,+18,743,Þว 3์/๑
7.6.2016,+18,741,+15,743,ว 4์/๑
8.6.2016,+12,745,+12,746,ว 3์/๑
9.6.2016,+16,749,+12,749,ว 3์/๑
10.6.2016,+20,750,+13,750,ว 2์/๑
11.6.2016,+24,751,+17,750,ว 2์/๑
12.6.2016,+26,748,+22,747,Þว 2์/๑
13.6.2016,+22,746,+20,747,Þว 2์/๑
14.6.2016,+22,749,+20,749,ว 1์/๑
15.6.2016,+29,749,+26,749,ว 1์/๑
16.6.2016,+31,750,+27,751,ย 1์/๑
17.6.2016,+31,752,+26,753,ัย 1์/๑
18.6.2016,+29,753,+23,752,ย 3์/๑
19.6.2016,+31,752,+27,752,ว 2์/๑
20.6.2016,+30,752,+24,753,ว 1์/๑
21.6.2016,+30,754,+26,754,ั 2์/๑
22.6.2016,+31,752,+23,752,ั 2์/๑
23.6.2016,+27,749,+23,749,ัว 4์/๑
24.6.2016,+26,749,+22,749,ัว 3์/๑
25.6.2016,+20,750,+18,750,ว 1์/๑
26.6.2016,+22,748,+17,746,Þย 1์/๑
27.6.2016,+24,741,+21,740,ว 2์/๑
28.6.2016,+19,744,+15,745,ัว 4์/๑
29.6.2016,+23,746,+19,746,ัว 3์/๑
30.6.2016,+24,746,+20,747,ัว 3์/๑
1.7.2016,+23,749,+18,749,ัว 2์/๑
2.7.2016,+26,747,+23,747,ัว 3์/๑
3.7.2016,+29,745,+25,746,ัว 2์/๑
4.7.2016,+29,743,+21,743,ว 2์/๑
5.7.2016,+30,740,+22,742,Þว 3์/๑
6.7.2016,+24,745,+21,746,ว 3์/๑
7.7.2016,+26,749,+22,748,ว 2์/๑
8.7.2016,+31,746,+25,744,Þย 2์/๑
9.7.2016,+19,740,+16,742,ว 2์/๑
10.7.2016,+24,746,+22,746,ว 3์/๑
11.7.2016,+27,747,+20,747,ว 2์/๑
12.7.2016,+21,746,+18,746,Þว 1์/๑
13.7.2016,+29,746,+25,746,ว 4์/๑
14.7.2016,+31,746,+28,745,ว 3์/๑
15.7.2016,+29,749,+23,749,ัว 2์/๑
16.7.2016,+30,749,+25,749,ัว 3์/๑
17.7.2016,+33,746,+24,747,ว 4์/๑
18.7.2016,+29,745,+25,745,ัว 3์/๑
19.7.2016,+28,744,+24,744,ัย 3์/๑
20.7.2016,+28,745,+26,746,ย 3์/๑
21.7.2016,+31,747,+26,747,ย 2์/๑
22.7.2016,+18,746,+17,746,Þย 2์/๑
23.7.2016,+24,744,+18,746,ย 2์/๑
24.7.2016,+23,745,+22,745,ว 3์/๑
25.7.2016,+26,746,+23,747,ั 2์/๑
26.7.2016,+26,749,+23,749,ัย 2์/๑
27.7.2016,+27,749,+21,749,ั 1์/๑
28.7.2016,+28,748,+21,748,ว 2์/๑
29.7.2016,+29,746,+21,746,ว 3์/๑
30.7.2016,+31,747,+22,748,ว 3์/๑
31.7.2016,+32,749,+25,749,ว 2์/๑
1.8.2016,+21,751,+21,752,ัว 2์/๑
2.8.2016,+31,751,+22,750,ว 2์/๑
3.8.2016,+33,749,+28,749,Þว 2์/๑
4.8.2016,+33,749,+25,751,Þว 1์/๑
5.8.2016,+31,752,+25,753,ัว 2์/๑
6.8.2016,+30,755,+25,755,ย 1์/๑
7.8.2016,+31,753,+21,752,ย 1์/๑
8.8.2016,+34,749,+27,749,Þย 1์/๑
9.8.2016,+26,750,+24,750,ัว 2์/๑
10.8.2016,+29,749,+26,748,ัย 3์/๑
11.8.2016,+30,747,+24,747,ย 3์/๑
12.8.2016,+33,749,+27,749,ัว 1์/๑
13.8.2016,+34,749,+31,749,ว 3์/๑
14.8.2016,+36,748,+30,748,Þย 2์/๑
15.8.2016,+30,746,+22,749,Þว 2์/๑
16.8.2016,+26,753,+19,754,ว 2์/๑
17.8.2016,+33,752,+29,751,Þย 2์/๑
18.8.2016,+35,752,+29,753,ย 2์/๑
19.8.2016,+34,753,+29,753,Þย 2์/๑
