20.4.1998,,,0,771,ุ
13.9.2000,0,740,,,
10.1.2008,-20,765,-22,765,ย 2์/๑
11.1.2008,-20,764,-24,764,ุ
12.1.2008,-20,762,-20,761,ว 2์/๑
13.1.2008,-9,756,-7,754,Þว 3์/๑
14.1.2008,-6,751,-4,752,Þว 2์/๑
15.1.2008,-1,753,-2,754,ว 1์/๑
16.1.2008,-1,759,-2,762,ุ
17.1.2008,-4,765,-4,765,Þ 3์/๑
18.1.2008,-8,765,-10,765,Þ 1์/๑
19.1.2008,-9,765,-12,765,ุ
20.1.2008,-9,762,-14,762,Þ 3์/๑
21.1.2008,-15,759,-17,759,ย 2์/๑
22.1.2008,-13,753,-11,751,ย 4์/๑
23.1.2008,-9,751,-9,751,Þ 3์/๑
24.1.2008,-11,750,-10,751,ย 3์/๑
25.1.2008,-8,753,-10,751,ย 1์/๑
26.1.2008,-4,742,-3,741,Þ 2์/๑
27.1.2008,-1,735,-2,735,ย 2์/๑
28.1.2008,-1,741,-3,744,Þย 3์/๑
29.1.2008,-4,749,-5,750,Þ 1์/๑
30.1.2008,-6,753,-5,753,ั 1์/๑
31.1.2008,-7,753,-11,753,ย 1์/๑
1.2.2008,-11,753,-14,753,Þย 1์/๑
2.2.2008,-12,756,-11,758,ย 1์/๑
3.2.2008,-6,756,-5,754,ย 1์/๑
4.2.2008,-3,756,-2,754,ว 4์/๑
5.2.2008,-1,759,-9,760,ว 1์/๑
6.2.2008,-6,760,-9,761,ว 2์/๑
7.2.2008,-8,765,-6,767,ุ
8.2.2008,-10,773,-15,773,ย 2์/๑
9.2.2008,-14,774,-18,772,Þว 3์/๑
10.2.2008,-12,762,-11,762,Þว 3์/๑
11.2.2008,-3,760,-3,762,Þว 1์/๑
12.2.2008,-5,763,-7,763,Þว 1์/๑
13.2.2008,-4,758,-6,755,Þว 4์/๑
14.2.2008,-6,746,-9,744,Þว 4์/๑
15.2.2008,-13,744,-13,741,ย 2์/๑
16.2.2008,-10,741,-17,744,Þว 2์/๑
17.2.2008,-11,750,-16,753,ว 2์/๑
18.2.2008,-14,751,-15,750,Þว 3์/๑
19.2.2008,-13,746,-14,744,Þย 2์/๑
20.2.2008,-8,735,-13,735,ัว 2์/๑
21.2.2008,-8,740,-10,744,ัว 4์/๑
22.2.2008,-7,750,-8,746,ว 3์/๑
23.2.2008,+1,734,+1,732,Þว 4์/๑
24.2.2008,+3,739,+1,741,Þว 3์/๑
25.2.2008,0,741,+1,738,Þว 4์/๑
26.2.2008,0,728,+1,735,Þว 3์/๑
27.2.2008,+2,744,0,745,ว 3์/๑
28.2.2008,+2,741,+1,740,Þว 3์/๑
29.2.2008,+2,738,+1,740,Þว 3์/๑
1.3.2008,+3,743,+2,742,Þ 3์/๑
2.3.2008,+2,738,+3,737,ย 3์/๑
3.3.2008,+2,736,+1,738,Þ 2์/๑
4.3.2008,+1,735,0,735,ย 1์/๑
5.3.2008,+1,744,-1,748,ว 3์/๑
6.3.2008,+1,750,-1,751,Þว 5์/๑
7.3.2008,+2,747,0,744,Þว 4์/๑
8.3.2008,+2,742,0,746,ว 2์/๑
9.3.2008,+1,753,-3,754,ั 2์/๑
10.3.2008,-2,752,-4,752,ัย 3์/๑
11.3.2008,0,752,-4,752,ั 2์/๑
12.3.2008,0,751,-3,750,Þย 2์/๑
13.3.2008,+3,746,-1,746,Þ 2์/๑
14.3.2008,+4,744,-1,744,ุ
15.3.2008,+4,741,+1,741,ย 1์/๑
16.3.2008,0,738,-1,744,ย 1์/๑
17.3.2008,+2,735,+1,737,Þว 3์/๑
18.3.2008,0,737,+1,735,ย 2์/๑
19.3.2008,+4,741,+2,738,Þย 1์/๑
20.3.2008,+4,746,+2,740,Þว 4์/๑
21.3.2008,+5,741,+3,740,Þว 4์/๑
22.3.2008,+2,738,+1,742,ว 1์/๑
23.3.2008,+3,748,+2,748,Þ 1์/๑
24.3.2008,+4,745,+2,747,Þย 2์/๑
25.3.2008,+10,744,+5,742,ย 2์/๑
26.3.2008,+15,738,+10,741,ย 3์/๑
27.3.2008,+12,746,+10,747,Þว 2์/๑
28.3.2008,+8,756,+5,758,ว 2์/๑
29.3.2008,+9,759,+5,759,ั 2์/๑
30.3.2008,+7,754,+5,753,ั 4์/๑
31.3.2008,+10,753,+5,753,ั 2์/๑
1.4.2008,+11,752,+5,752,ัย 4์/๑
2.4.2008,+10,749,+6,749,ัย 3์/๑
3.4.2008,+15,748,+10,749,ัย 4์/๑
4.4.2008,+17,746,+11,747,ัย 2์/๑
